Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
166,55,"192.168.1.4",266870435869690,10781007690028
167,55,"192.168.1.10",441770704943182,10781007692216
167,55,"192.168.1.4",266870435883597,10781007694726
55,55,"192.168.2.10",441770704957700,10781007738575
168,56,"192.168.1.10",441770705117219,10781007842590
168,56,"192.168.1.4",266870436057838,10781007845025
169,56,"192.168.1.10",441770705138293,10781007896436
169,56,"192.168.1.4",266870436079560,10781007898886
170,56,"192.168.1.10",441770705152071,10781007901394
170,56,"192.168.1.4",266870436093579,10781007903858
56,56,"192.168.2.10",441770705166534,10781007948100
171,57,"192.168.1.10",441770705324552,10781008051652
171,57,"192.168.1.4",266870436263282,10781008054716
172,57,"192.168.1.10",441770705345534,10781008104572
172,57,"192.168.1.4",266870436284857,10781008106990
173,57,"192.168.1.10",441770705359423,10781008109105
173,57,"192.168.1.4",266870436298820,10781008111406
57,57,"192.168.2.10",441770705373256,10781008154996
174,58,"192.168.1.4",266870436471542,10781008259189
174,58,"192.168.1.10",441770705533015,10781008263611
175,58,"192.168.1.4",266870436492820,10781008312432
175,58,"192.168.1.10",441770705554460,10781008314911
176,58,"192.168.1.4",266870436506857,10781008317127
176,58,"192.168.1.10",441770705568237,10781008319483
58,58,"192.168.2.10",441770705581700,10781008362790
177,59,"192.168.1.4",266870436679820,10781008465933
177,59,"192.168.1.10",441770705741275,10781008468430
178,59,"192.168.1.4",266870436701134,10781008522625
178,59,"192.168.1.10",441770705762626,10781008525018
179,59,"192.168.1.10",441770705776256,10781008527284
179,59,"192.168.1.4",266870436715523,10781008529695
59,59,"192.168.2.10",441770705789775,10781008573327
180,60,"192.168.1.10",441770705949460,10781008675230
180,60,"192.168.1.4",266870436888820,10781008677674
181,60,"192.168.1.10",441770705970552,10781008728817
181,60,"192.168.1.4",266870436910838,10781008731258
182,60,"192.168.1.10",441770705984386,10781008733504
182,60,"192.168.1.4",266870436925079,10781008735933
60,60,"192.168.2.10",441770705997775,10781008784767
183,61,"192.168.1.4",266870437096542,10781008883142
183,61,"192.168.1.10",441770706158663,10781008885670
184,61,"192.168.1.4",266870437118134,10781008937294
184,61,"192.168.1.10",441770706179849,10781008939670
185,61,"192.168.1.4",266870437131949,10781008941829
185,61,"192.168.1.10",441770706194312,10781008944243
61,61,"192.168.2.10",441770706207904,10781008988292
186,62,"192.168.1.4",266870437304634,10781009091633
186,62,"192.168.1.10",441770706366237,10781009094390
187,62,"192.168.1.4",266870437326208,10781009146497
187,62,"192.168.1.10",441770706387423,10781009148877
188,62,"192.168.1.10",441770706401108,10781009151122
188,62,"192.168.1.4",266870437340227,10781009155919
62,62,"192.168.2.10",441770706414663,10781009196152
189,63,"192.168.1.4",266870437513005,10781009302116
189,63,"192.168.1.10",441770706574367,10781009306743
190,63,"192.168.1.10",441770706595626,10781009353879
190,63,"192.168.1.4",266870437534597,10781009356303
191,63,"192.168.1.10",441770706609200,10781009358492
191,63,"192.168.1.4",266870437548449,10781009360904
63,63,"192.168.2.10",441770706622775,10781009405292
192,64,"192.168.1.4",266870437721134,10781009507753
192,64,"192.168.1.10",441770706782497,10781009510323
193,64,"192.168.1.4",266870437742579,10781009561846
193,64,"192.168.1.10",441770706804589,10781009564335
194,64,"192.168.1.4",266870437756653,10781009566594
194,64,"192.168.1.10",441770706818886,10781009568894
64,64,"192.168.2.10",441770706832608,10781009612543
195,65,"192.168.1.10",441770706990997,10781009717362
195,65,"192.168.1.4",266870437930486,10781009719876
196,65,"192.168.1.10",441770707012182,10781009770803
196,65,"192.168.1.4",266870437952449,10781009773195
197,65,"192.168.1.10",441770707025941,10781009775437
197,65,"192.168.1.4",266870437966708,10781009777865
65,65,"192.168.2.10",441770707039478,10781009826534
198,66,"192.168.1.4",266870438137801,10781009924332
198,66,"192.168.1.10",441770707200515,10781009926772
199,66,"192.168.1.4",266870438159153,10781009978486
199,66,"192.168.1.10",441770707222182,10781009980930
200,66,"192.168.1.4",266870438172968,10781009983402
200,66,"192.168.1.10",441770707236219,10781009985770
66,66,"192.168.2.10",441770707249700,10781010029017
201,67,"192.168.1.4",266870438345968,10781010132348
201,67,"192.168.1.10",441770707407997,10781010134898
202,67,"192.168.1.4",266870438367412,10781010187886
202,67,"192.168.1.10",441770707429386,10781010190367
203,67,"192.168.1.4",266870438381153,10781010192593
203,67,"192.168.1.10",441770707443497,10781010194953
67,67,"192.168.2.10",441770707457145,10781010237197
204,68,"192.168.1.4",266870438554282,10781010345499
204,68,"192.168.1.10",441770707615589,10781010348314
205,68,"192.168.1.4",266870438575523,10781010394718
205,68,"192.168.1.10",441770707636756,10781010397205
206,68,"192.168.1.4",266870438589542,10781010399540
206,68,"192.168.1.10",441770707650275,10781010401848
68,68,"192.168.2.10",441770707664293,10781010445946
207,69,"192.168.1.10",441770707824126,10781010548866
207,69,"192.168.1.4",266870438762579,10781010551409
208,69,"192.168.1.10",441770707845163,10781010603700
208,69,"192.168.1.4",266870438784671,10781010605988
209,69,"192.168.1.10",441770707858626,10781010608038
209,69,"192.168.1.4",266870438798671,10781010612400
69,69,"192.168.2.10",441770707872126,10781010654464
210,70,"192.168.1.4",266870438972431,10781010759465
210,70,"192.168.1.10",441770708035071,10781010761935
211,70,"192.168.1.4",266870438994097,10781010814570
211,70,"192.168.1.10",441770708056719,10781010818568
212,70,"192.168.1.4",266870439008042,10781010824862
212,70,"192.168.1.10",441770708070700,10781010830547
70,70,"192.168.2.10",441770708084441,10781010864118
213,71,"192.168.1.4",266870439179282,10781010967728
