Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
207,25,"192.168.1.4",265818235462687,9728815270781
208,26,"192.168.1.4",265818235486484,9728815273399
209,26,"192.168.1.4",265818235510447,9728815275552
210,26,"192.168.1.4",265818235534076,9728815277779
208,26,"192.168.1.10",440718510291531,9728815323068
209,26,"192.168.1.10",440718510312716,9728815325496
211,26,"192.168.1.4",265818235557632,9728815327740
210,26,"192.168.1.10",440718510326457,9728815329844
211,26,"192.168.1.10",440718510339772,9728815375848
212,26,"192.168.1.4",265818235581576,9728815378420
212,26,"192.168.1.10",440718510352920,9728815380603
213,26,"192.168.1.10",440718510366198,9728815382866
213,26,"192.168.1.4",265818235605613,9728815428174
214,26,"192.168.1.10",440718510379328,9728815430669
215,26,"192.168.1.10",440718510392328,9728815432849
214,26,"192.168.1.4",265818235629354,9728815435015
215,26,"192.168.1.4",265818235654891,9728815480960
216,27,"192.168.1.4",265818235679150,9728815483528
217,27,"192.168.1.4",265818235703076,9728815485655
218,27,"192.168.1.4",265818235726910,9728815487824
216,27,"192.168.1.10",440718510500994,9728815533603
219,27,"192.168.1.4",265818235750595,9728815536050
217,27,"192.168.1.10",440718510522587,9728815538340
218,27,"192.168.1.10",440718510536068,9728815540625
220,27,"192.168.1.4",265818235774595,9728815586976
219,27,"192.168.1.10",440718510549291,9728815589450
221,27,"192.168.1.4",265818235798484,9728815591555
220,27,"192.168.1.10",440718510562346,9728815593743
221,27,"192.168.1.10",440718510575605,9728815638960
222,27,"192.168.1.4",265818235822224,9728815641867
222,27,"192.168.1.10",440718510588772,9728815643919
223,27,"192.168.1.10",440718510601976,9728815646207
223,27,"192.168.1.4",265818235845817,9728815691478
224,28,"192.168.1.10",440718510708198,9728815693883
224,28,"192.168.1.4",265818235950854,9728815696125
225,28,"192.168.1.10",440718510730087,9728815698364
226,28,"192.168.1.10",440718510743346,9728815756446
225,28,"192.168.1.4",265818235981650,9728815762452
227,28,"192.168.1.10",440718510757254,9728815765094
228,28,"192.168.1.10",440718510770420,9728815767411
229,28,"192.168.1.10",440718510783550,9728815769533
226,28,"192.168.1.4",265818236026280,9728815771810
230,28,"192.168.1.10",440718510796642,9728815795168
231,28,"192.168.1.10",440718510809568,9728815797782
227,28,"192.168.1.4",265818236055150,9728815849793
228,28,"192.168.1.4",265818236079428,9728815852243
229,28,"192.168.1.4",265818236102947,9728815854774
230,28,"192.168.1.4",265818236126447,9728815857020
231,28,"192.168.1.4",265818236150113,9728815902591
232,29,"192.168.1.10",440718510916198,9728815907147
233,29,"192.168.1.10",440718510937402,9728815909316
232,29,"192.168.1.4",265818236174058,9728815911539
234,29,"192.168.1.10",440718510950883,9728815955498
233,29,"192.168.1.4",265818236197910,9728815957951
235,29,"192.168.1.10",440718510964068,9728815960094
236,29,"192.168.1.10",440718510977716,9728815962211
234,29,"192.168.1.4",265818236221687,9728816014901
237,29,"192.168.1.10",440718510990716,9728816017606
238,29,"192.168.1.10",440718511003716,9728816019778
235,29,"192.168.1.4",265818236245113,9728816021954
239,29,"192.168.1.10",440718511016698,9728816024298
236,29,"192.168.1.4",265818236268910,9728816061780
237,29,"192.168.1.4",265818236292484,9728816064484
238,29,"192.168.1.4",265818236316058,9728816066552
239,29,"192.168.1.4",265818236339576,9728816068868
240,30,"192.168.1.4",265818236363317,9728816113571
240,30,"192.168.1.10",440718511124716,9728816116124
241,30,"192.168.1.10",440718511146013,9728816118313
241,30,"192.168.1.4",265818236387206,9728816120732
242,30,"192.168.1.10",440718511159161,9728816166777
243,30,"192.168.1.10",440718511172198,9728816169479
242,30,"192.168.1.4",265818236410669,9728816171628
244,30,"192.168.1.10",440718511185198,9728816173818
243,30,"192.168.1.4",265818236434539,9728816219595
245,30,"192.168.1.10",440718511198939,9728816222188
246,30,"192.168.1.10",440718511211957,9728816224293
244,30,"192.168.1.4",265818236458299,9728816226538
247,30,"192.168.1.10",440718511225105,9728816276000
245,30,"192.168.1.4",265818236481873,9728816278739
246,30,"192.168.1.4",265818236505558,9728816280690
247,30,"192.168.1.4",265818236529113,9728816282829
248,31,"192.168.1.4",265818236553095,9728816285070
249,31,"192.168.1.4",265818236576799,9728816323033
248,31,"192.168.1.10",440718511332939,9728816325795
249,31,"192.168.1.10",440718511354457,9728816327936
250,31,"192.168.1.4",265818236600502,9728816376882
250,31,"192.168.1.10",440718511368513,9728816379536
251,31,"192.168.1.10",440718511382013,9728816381618
251,31,"192.168.1.4",265818236624224,9728816383759
252,31,"192.168.1.10",440718511395309,9728816431050
253,31,"192.168.1.10",440718511408383,9728816433889
252,31,"192.168.1.4",265818236647854,9728816435990
254,31,"192.168.1.10",440718511422013,9728816437991
255,31,"192.168.1.10",440718511435198,9728816440260
253,31,"192.168.1.4",265818236671706,9728816482394
254,31,"192.168.1.4",265818236695484,9728816485186
255,31,"192.168.1.4",265818236719132,9728816487472
256,32,"192.168.1.4",265818236742873,9728816492089
257,32,"192.168.1.4",265818236766743,9728816534017
256,32,"192.168.1.10",440718511542568,9728816536566
258,32,"192.168.1.4",265818236790447,9728816538572
257,32,"192.168.1.10",440718511563605,9728816589235
258,32,"192.168.1.10",440718511577105,9728816592315
259,32,"192.168.1.4",265818236814262,9728816594396
259,32,"192.168.1.10",440718511590328,9728816596514
260,32,"192.168.1.4",265818236838058,9728816598771
260,32,"192.168.1.10",440718511603754,9728816640461
261,32,"192.168.1.10",440718511616828,9728816643203
261,32,"192.168.1.4",265818236861650,9728816645338
262,32,"192.168.1.10",440718511630124,9728816647586
263,32,"192.168.1.10",440718511643902,9728816693055
262,32,"192.168.1.4",265818236885373,9728816695506
263,32,"192.168.1.4",265818236908984,9728816697718
264,33,"192.168.1.4",265818236933039,9728816700053
265,33,"192.168.1.4",265818236956780,9728816745601
266,33,"192.168.1.4",265818236980410,9728816751230
264,33,"192.168.1.10",440718511749791,9728816753333
267,33,"192.168.1.4",265818237004169,9728816756221
265,33,"192.168.1.10",440718511771216,9728816798844
266,33,"192.168.1.10",440718511784531,9728816801331
268,33,"192.168.1.4",265818237027706,9728816803417
267,33,"192.168.1.10",440718511797605,9728816805666
268,33,"192.168.1.10",440718511810494,9728816851396
269,33,"192.168.1.4",265818237051280,9728816854011
269,33,"192.168.1.10",440718511823568,9728816856106
270,33,"192.168.1.10",440718511836661,9728816858223
270,33,"192.168.1.4",265818237074873,9728816903413
271,33,"192.168.1.10",440718511849679,9728816905983
271,33,"192.168.1.4",265818237098669,9728816908067
272,34,"192.168.1.10",440718511957772,9728816910283
272,34,"192.168.1.4",265818237201039,9728816955901
273,34,"192.168.1.10",440718511979179,9728816958388
273,34,"192.168.1.4",265818237231595,9728816960524
274,34,"192.168.1.10",440718511992513,9728816962805
274,34,"192.168.1.4",265818237255632,9728817009206
275,34,"192.168.1.10",440718512029828,9728817011779
275,34,"192.168.1.4",265818237280280,9728817013948
276,34,"192.168.1.10",440718512047198,9728817016127
